	Pos	Koodi	Nimike	Lisänimike	Määrä	Yks	à-hinta	Ale%	Yhteensä	Nettohinta	Tili	Vero%	Varasto	Toimituspvm	Tyyppi	Ei varastopäiv.
	1	8103322	KIERRESAUMAKANAVA 100 X 3000		45,00	M	18,74	82,00	151,79	2,90	3000 Myynti alv	24,00			Normaali	False
	2	8103323	KIERRESAUMAKANAVA 125 X 3000		32,00	M	22,29	82,00	128,39	3,45	3000 Myynti alv	24,00			Normaali	False
	3	8103324	KIERRESAUMAKANAVA 160 X 3000		54,00	M	30,13	82,00	292,86	4,66	3000 Myynti alv	24,00			Normaali	False
	4	8100155	KÄYRÄ 30 160		4,00	KPL	31,90	82,00	22,97	4,70	3000 Myynti alv	24,00			Normaali	False
	5	8100124	KÄYRÄ 45 100		11,00	KPL	19,34	82,00	38,29	2,85	3000 Myynti alv	24,00			Normaali	False
	6	8100126	KÄYRÄ 45 125		4,00	KPL	21,30	82,00	15,34	3,13	3000 Myynti alv	24,00			Normaali	False
	7	8100128	KÄYRÄ 45 160		10,00	KPL	34,25	82,00	61,65	5,04	3000 Myynti alv	24,00			Normaali	False
	8	8100094	KÄYRÄ 90 100		31,00	KPL	21,33	82,00	119,02	2,72	3000 Myynti alv	24,00			Normaali	False
	9	8100096	KÄYRÄ 90 125		8,00	KPL	21,38	82,00	30,79	3,15	3000 Myynti alv	24,00			Normaali	False
	10	8100098	KÄYRÄ 90 160		16,00	KPL	31,55	82,00	90,86	4,65	3000 Myynti alv	24,00			Normaali	False
	11	8335825	INSUPLAST T-HAARA 125/125/125-100	KANAVAERISTE TT	7,00	KPL	27,46	54,00	88,42	10,50	3000 Myynti alv	24,00			Normaali	False
	12	8335837	INSUPLAST T-HAARA 160/160/160-100	KANAVAERISTE TT	13,00	KPL	29,66	54,00	177,37	11,34	3000 Myynti alv	24,00			Normaali	False
	13	8335837	INSUPLAST T-HAARA 160/160/160-100	KANAVAERISTE TT	7,00	KPL	29,66	54,00	95,51	11,34	3000 Myynti alv	24,00			Normaali	False
	14	8100428	MUUNTOL. OSALLE 125-100		2,00	KPL	19,59	82,00	7,05	2,89	3000 Myynti alv	24,00			Normaali	False
	15	8100558	MUUNTOYHDE EPÄK KAN/KAN 160-125		2,00	KPL	61,77	82,00	22,24	9,09	3000 Myynti alv	24,00			Normaali	False
	16	8100564	MUUNTOYHDE EPÄK KAN/ KAN  250-160		2,00	KPL	84,82	82,00	30,54	12,48	3000 Myynti alv	24,00			Normaali	False
