	Pos	Koodi	Nimike	Lisänimike	Määrä	Yks	à-hinta	Ale%	Yhteensä	Nettohinta	Tili	Vero%	Varasto	Toimituspvm	Tyyppi	Ei varastopäiv.
	1	8103322	KIERRESAUMAKANAVA 100 X 3000		45,00	M	18,74	85,00	126,50	2,90	3000 Myynti alv	25,50	404 OULU		Normaali	False
	2	8103323	KIERRESAUMAKANAVA 125 X 3000		33,00	M	22,29	85,00	110,34	3,45	3000 Myynti alv	25,50	404 OULU		Normaali	False
	3	8103324	KIERRESAUMAKANAVA 160 X 3000		54,00	M	30,13	85,00	244,05	4,66	3000 Myynti alv	25,50	404 OULU		Normaali	False
	4	8100155	KÄYRÄ 30 160		4,00	KPL	31,90	85,00	19,14	4,70	3000 Myynti alv	25,50	404 OULU		Normaali	False
	5	8100124	KÄYRÄ 45 100		11,00	KPL	19,34	85,00	31,91	2,85	3000 Myynti alv	25,50	404 OULU		Normaali	False
	6	8100126	KÄYRÄ 45 125		4,00	KPL	21,30	85,00	12,78	3,13	3000 Myynti alv	25,50	404 OULU		Normaali	False
	7	8100128	KÄYRÄ 45 160		10,00	KPL	34,25	85,00	51,38	5,04	3000 Myynti alv	25,50	404 OULU		Normaali	False
	8	8100094	KÄYRÄ 90 100		31,00	KPL	21,33	85,00	99,18	2,72	3000 Myynti alv	25,50	404 OULU		Normaali	False
	9	8100096	KÄYRÄ 90 125		8,00	KPL	21,38	85,00	25,66	3,15	3000 Myynti alv	25,50	404 OULU		Normaali	False
	10	8100098	KÄYRÄ 90 160		16,00	KPL	31,55	85,00	75,72	4,65	3000 Myynti alv	25,50	404 OULU		Normaali	False
	11	8100188	T-KAPPALE 125-100		7,00	KPL	40,37	85,00	42,39	5,94	3000 Myynti alv	25,50	404 OULU		Normaali	False
	12	8100194	T-KAPPALE 160-100		13,00	KPL	44,07	85,00	85,94	6,48	3000 Myynti alv	25,50	404 OULU		Normaali	False
	13	8100196	T-KAPPALE 160-125		7,00	KPL	45,23	85,00	47,49	6,66	3000 Myynti alv	25,50	404 OULU		Normaali	False
	14	8100518	MUUNTOL. KANAVALLE 125-100		2,00	KPL	18,33	85,00	5,50	2,70	3000 Myynti alv	25,50	404 OULU		Normaali	False
	15	8100522	MUUNTOL. KANAVALLE 160-125		2,00	KPL	22,18	85,00	6,65	3,26	3000 Myynti alv	25,50	404 OULU		Normaali	False
