	Pos	Koodi	Nimike	Lisänimike	Määrä	Yks	à-hinta	Ale%	Yhteensä	Nettohinta	Tili	Vero%	Varasto	Toimituspvm	Tyyppi	Ei varastopäiv.
	1	8103322	KIERRESAUMAKANAVA 100 X 3000		6,00	M	18,74	81,00	21,36	2,90	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	2	8103323	KIERRESAUMAKANAVA 125 X 3000		36,00	M	22,29	81,00	152,46	3,45	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	3	8103324	KIERRESAUMAKANAVA 160 X 3000		21,00	M	30,13	81,00	120,22	4,66	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	4	8103325	KIERRESAUMAKANAVA 200 X 3000		9,00	M	38,87	81,00	66,47	6,01	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	6	8100154	KÄYRÄ 30 125		1,00	KPL	22,21	81,00	4,22	3,27	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	7	8100156	KÄYRÄ 30 200		1,00	KPL	43,30	81,00	8,23	6,37	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	8	8100124	KÄYRÄ 45 100		1,00	KPL	19,34	81,00	3,67	2,85	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	9	8100126	KÄYRÄ 45 125		1,00	KPL	21,30	81,00	4,05	3,13	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	10	8100130	KÄYRÄ 45 200		1,00	KPL	39,09	81,00	7,43	5,75	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	11	8100094	KÄYRÄ 90 100		1,00	KPL	21,33	81,00	4,05	2,72	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	12	8100096	KÄYRÄ 90 125		1,00	KPL	21,38	81,00	4,06	3,15	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	13	8100098	KÄYRÄ 90 160		1,00	KPL	31,55	81,00	5,99	4,65	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	14	8100100	KÄYRÄ 90 200		1,00	KPL	53,43	81,00	10,15	7,86	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	15	8100188	T-KAPPALE 125-100		1,00	KPL	40,37	81,00	7,67	5,94	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	16	8100190	T-KAPPALE 125-125		1,00	KPL	32,30	81,00	6,14	4,76	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	17	8100196	T-KAPPALE 160-125		1,00	KPL	45,23	81,00	8,59	6,66	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	18	8100198	T-KAPPALE 160-160		1,00	KPL	50,27	81,00	9,55	7,39	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	19	8100204	T-KAPPALE 200-125		1,00	KPL	43,19	81,00	8,21	6,35	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	20	8100518	MUUNTOL. KANAVALLE 125-100		1,00	KPL	18,33	81,00	3,48	2,70	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	21	8100522	MUUNTOL. KANAVALLE 160-125		2,00	KPL	22,18	81,00	8,43	3,26	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	22	8100528	MUUNTOL. KANAVALLE 200-160		2,00	KPL	26,37	81,00	10,02	3,88	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	23	8100538	MUUNTOL. KANAVALLE 315-200		1,00	KPL	41,61	81,00	7,91	6,12	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	24	8319625	TULPPA KANAVALLE KAHVALLA 160		2,00	KPL	25,14	81,00	9,55	3,70	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	25	8813330	ULKOILMASÄLEIKKÖ US-AV 315		1,00	KPL	77,49	70,00	23,25	16,73	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	26	8720206	TULOILMAVENTTIILI W-TK 125	ONEPIPE	6,00	KPL	39,21	70,00	70,58	6,00	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	27	8720205	TULOILMAVENTTIILI W-TK 100	ONEPIPE	1,00	KPL	31,91	70,00	9,57	5,00	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	28	8713545	TULOILMAVENTTIILI STQA-125-C	FLÄKTWOODS	2,00	KPL	62,74	50,00	62,74	18,82	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	29	8720202	POISTOILMAVENTTIILI W-PK 100	ONEPIPE	5,00	KPL	14,57	67,00	24,04	3,15	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	30	8720203	POISTOILMAVENTTIILI W-PK 125	ONEPIPE	4,00	KPL	20,65	67,00	27,26	4,46	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	33	8413008	SÄÄTÖPELTI D 125	PT	1,00	KPL	22,68	50,00	11,34	7,94	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	34	8413010	SÄÄTÖPELTI D 160	PT	1,00	KPL	23,74	50,00	11,87	8,31	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	35	8336420	ÄÄNENVAIMENNIN KANTIKAS 200 X 1000	ONEPIPE RSRF	2,00	KPL	262,81	58,00	220,76	42,71	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	36	8423541	PALOPELTI ETPR-E-1-160-01-0	FLÄKTWOODS	1,00	KPL	213,04	50,00	106,52	63,91	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	37	8423547	PALOPELTI ETPR-E-1-200-01-0	FLÄKTWOODS	1,00	KPL	224,52	50,00	112,26	67,36	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	40	8313052	PUHDISTUSLUUKKU PIKA JÄLKIAS. 125		4,00	KPL	50,43	80,00	40,34	7,42	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	41	8313053	PUHDISTUSLUUKKU PIKA JÄLKIAS. 160	BDKL-1-016	1,00	KPL	44,96	80,00	8,99	6,62	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
	43	8313054	PUHDISTUSLUUKKU PIKA JÄLKIAS. 200		1,00	KPL	58,51	80,00	11,70	8,62	3000 Myynti alv	25,50	10 ESPOO		Normaali	False
