Tuotekoodi;Laatu;Määrittely;Tuotenimi;Paksuus;Tuoteryhmä;Lisänimi;Halkaisija;Seinämä;Muu mitta;Pinta;Yksikkö paino;Paineluokka;Lisätiedot;Toleranssi;Sisähalkaisija;Leveys;Paksuus;Korkeus/pituus;Eräkoko
60605;EN 1.4571;8x10 MM;PÄÄTELIITIN HITSATTAVA;0;Pääteliitin;;8,00;;10,00;;0,01;;;;;;;;1
60606;EN 1.4571;"6 X LR1/8""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;6,00;;"1/8""";;0,01;;;;;;;;1
60608;EN 1.4571;"6 X LR1/4""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;6,00;;"1/4""";;0,01;;;;;;;;1
60610;EN 1.4571;"6 X LR3/8""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;6,00;;"3/8""";;0,01;;;;;;;;1
60806;EN 1.4571;"8 X LR1/8""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;8,00;;"1/8""";;0,01;;;;;;;;1
60808;EN 1.4571;"8 X LR1/4""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;8,00;;"1/4""";;0,01;;;;;;;;1
60810;EN 1.4571;"8 X LR3/8""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;8,00;;"3/8""";;0,01;;;;;;;;1
60815;EN 1.4571;"8 X LR1/2""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;8,00;;"1/2""";;0,01;;;;;;;;1
61008;EN 1.4571;"10 X LR1/4""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;10,00;;"1/4""";;0,05;;;;;;;;1
061008N;EN 1.4571;"10 X 1/4"" NPT";PÄÄTELIITIN A-GEV;0;Pääteliitin;;10,00;;"1/4""";;0,01;;NPT;;;;;;1
61010;EN 1.4571;"10 X LR3/8""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;10,00;;"3/8""";;0,05;;;;;;;;1
61015;EN 1.4571;"10 X LR1/2""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;10,00;;"1/2""";;0,01;;;;;;;;1
61208;EN 1.4571;"12 X LR1/4""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;12,00;;"1/4""";;0,01;;;;;;;;1
61210;EN 1.4571;"12 X LR3/8""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;12,00;;"3/8""";;0,01;;;;;;;;1
061210S;EN 1.4571;"12 X SR3/8""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;12,00;;"3/8""";;0,01;;;;;;;;1
61215;EN 1.4571;"12 X LR1/2""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;12,00;;"1/2""";;0,09;;;;;;;;1
061215N;EN 1.4571;"12 X LR1/2""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;12,00;;"1/2""";;0,01;;;;;;;;1
61515;EN 1.4571;"15 X LR1/2""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;15,00;;"1/2""";;0,01;;;;;;;;1
61615;EN 1.4571;"16 X SR1/2""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;16,00;;"1/2""";;0,01;;;;;;;;1
61815;EN 1.4571;"18 X LR1/2""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;18,00;;"1/2""";;0,01;;;;;;;;1
62215;EN 1.4571;"22 X LR1/2""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;22,00;;"1/2""";;0,01;;;;;;;;1
62220;EN 1.4571;"22 X LR3/4""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;22,00;;"3/4""";;0,01;;;;;;;;1
62525;EN 1.4571;"25 X SR1""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;25,00;;"1""";;0,01;;;;;;;;1
62825;EN 1.4571;"28 X LR1""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;28,00;;"1""";;0,01;;;;;;;;1
63532;EN 1.4571;"35 X R 1.1/4""";PÄÄTELIITIN A-GEV;0;Pääteliitin;;35,00;;"1 1/4""";;0;;;;;;;;1
1000;;;;0;Vuosihyvitykset;;;;;;0;;;;;;;;1
1200016;AISI 316;16 MM (HALK.17MM);LETKU JATKOLIITIN;0;Jatkoliitin;;16,00;;;;0,2;;;;;;;;1
1200201;AISI 316;"1/8""";POLVIKAARI;0;Polvikaari;;"1/8""";;;;0,1;;;;;;;;1
1200202;AISI 316;"1/4""";POLVIKAARI;0;Polvikaari;;"1/4""";;;;0,1;;;;;;;;1
1200203;AISI 316;"3/8""";POLVIKAARI;0;Polvikaari;;"3/8""";;;;0,15;;;;;;;;1
1200204;AISI 316;"1/2""";POLVIKAARI;0;Polvikaari;;"1/2""";;;;0,23;;;;;;;;1
1200205;AISI 316;"3/4""";POLVIKAARI;0;Polvikaari;;"3/4""";;;;0,35;;;;;;;;1
1200206;AISI 316;"1""";POLVIKAARI;0;Polvikaari;;"1""";;;;0,61;;;;;;;;1
1200207;AISI 316;"1 1/4""";POLVIKAARI;0;Polvikaari;;"1 1/4""";;;;0,93;;;;;;;;1
1200208;AISI 316;"1 1/2""";POLVIKAARI;0;Polvikaari;;"1 1/2""";;;;1,18;;;;;;;;1
1200209;AISI 316;"2""";POLVIKAARI;0;Polvikaari;;"2""";;;;1,95;;;;;;;;1
1200210;AISI 316;"2 1/2""";POLVIKAARI;0;Polvikaari;;"2 1/2""";;;;3,27;;;;;;;;1
1200301;AISI 316;"1/8""";RISTIYHDE;0;Ristiyhde;;"1/8""";;;;0,5;;;;;;;;1
1200302;AISI 316;"1/4""";RISTIYHDE;0;Ristiyhde;;"1/4""";;;;0,06;;;;;;;;1
1200303;AISI 316;"3/8""";RISTIYHDE;0;Ristiyhde;;"3/8""";;;;0,09;;;;;;;;1
1200304;AISI 316;"1/2""";RISTIYHDE;0;Ristiyhde;;"1/2""";;;;0,16;;;;;;;;1
1200305;AISI 316;"3/4""";RISTIYHDE;0;Ristiyhde;;"3/4""";;;;0,26;;;;;;;;1
1200306;AISI 316;"1""";RISTIYHDE;0;Ristiyhde;;"1""";;;;0,38;;;;;;;;1
1200307;AISI 316;"1 1/4""";RISTIYHDE;0;Ristiyhde;;"1 1/4""";;;;0,61;;;;;;;;1
1200308;AISI 316;"1 1/2""";RISTIYHDE;0;Ristiyhde;;"1 1/2""";;;;0,92;;;;;;;;1
1200309;AISI 316;"2""";RISTIYHDE;0;Ristiyhde;;"2""";;;;1,18;;;;;;;;1
1200401;AISI 316;"1/8""";KULMAYHDE S/S;0;Kulmayhde;;"1/8""";;;;0,03;;;;;;;;1
1200402;AISI 316;"1/4""";KULMAYHDE S/S;0;Kulmayhde;;"1/4""";;;;0,04;;;;;;;;1
1200402S;AISI 316;"1/4""";KULMAYHDE S/S (ILMAN TUKEA);0;Kulmayhde;;"1/4""";;;;0,04;;;;;;;;1
1200403;AISI 316;"3/8""";KULMAYHDE S/S;0;Kulmayhde;;"3/8""";;;;0,06;;;;;;;;1
1200403N;AISI 316;"3/8"" NPT";KULMAYHDE S/S;0;Kulmayhde;;"3/8""";;;;0,06;;NPT;;;;;;1
1200404;AISI 316;"1/2""";KULMAYHDE S/S;0;Kulmayhde;;"1/2""";;;;0,11;;;;;;;;1
